epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
0,6.222169081370036,0.002647854465370377,6.221741358439128,0.0028973183361813426
1,6.197890679041545,0.005115279811434448,6.1738332112630205,0.002827618969604373
2,6.119770447413127,0.10871564721067746,6.016031424204509,0.10056998953223228
3,5.877215544382731,0.11947631587584813,5.653337001800537,0.10175549735625584
4,5.490246534347534,0.11318624888857205,5.277350187301636,0.1015599009891351
5,5.1886252562205,0.1431871900955836,5.087839921315511,0.10111208632588387
6,5.061580419540405,0.1550081931054592,5.021925846735637,0.0982983335852623
7,4.989813248316447,0.16957794378201166,4.9751542409261065,0.10136897365252177
8,4.926175514856975,0.16970007369915643,4.96591059366862,0.09991480161746343
9,4.935510794321696,0.1958725576599439,4.957518100738525,0.0881136575092872
10,4.903210401535034,0.1993343010544777,4.948868910471599,0.09778196488817532
11,4.873658100763957,0.1977318823337555,4.968258857727051,0.09698860595623653
12,4.84395170211792,0.2024827500184377,4.976890563964844,0.09610301877061526
13,4.793272654215495,0.20529496173063913,5.009749889373779,0.09739031518499057
14,4.754385630289714,0.20717438807090124,5.048735062281291,0.09228017181158066
15,4.717087109883626,0.20903769383827844,5.104816754659017,0.10871600483854611
16,4.68511946996053,0.2071098064382871,5.236792087554932,0.0963703120748202
17,4.658718585968018,0.20784862587849298,5.502189636230469,0.09248491128285725
18,4.61841893196106,0.21370537082354227,5.640509605407715,0.09122998950382073
19,4.605651458104451,0.21078159908453623,5.813160101572673,0.0922744981944561
20,4.586187203725179,0.21289394050836563,5.892005443572998,0.09150422737002373
21,4.589967409769694,0.20883248001337051,5.794504165649414,0.12055854126811028
22,4.556954940160115,0.2136606127023697,5.831496556599935,0.12034378324945767
23,4.555378754933675,0.21185230960448584,5.903276840845744,0.1201504406829675
24,4.549408753712972,0.211492287615935,5.993743340174357,0.12107610950867335
25,4.5418093999226885,0.20983036110798517,5.99289608001709,0.12292661021153133
26,4.525493383407593,0.21051416546106339,6.034874200820923,0.11995826661586761
27,4.514473597208659,0.21080526461203894,6.00559941927592,0.12043316165606181
28,4.5995713869730634,0.19379803414146105,5.762141942977905,0.1254707450668017
29,4.5549369653066,0.20109918216864267,5.498451312383016,0.1220866118868192
30,4.49342926343282,0.21174554775158563,5.902460257212321,0.118244469165802
31,4.478540579477946,0.21071805308262506,6.083149512608846,0.12591496979196867
32,4.459795713424683,0.21118125319480896,6.233469247817993,0.12111286694804828
33,4.434614817301433,0.21243436634540558,6.282541910807292,0.1222028061747551
34,4.425013780593872,0.2112861250837644,6.244205077489217,0.12172941491007805
35,4.400158087412517,0.21270525455474854,6.260913848876953,0.12101628755529721
36,4.396523316701253,0.2099648838241895,6.177102724711101,0.11853341261545818
37,4.341248671213786,0.21599906186262766,6.087067127227783,0.11986517906188965
38,4.329582214355469,0.21217732379833856,6.093965530395508,0.12294224773844083
39,4.323859294255574,0.20991206417481104,6.038620630900065,0.1198612538476785
40,4.274022261301677,0.21220279236634573,5.983046929041545,0.11932081604997317
41,4.243781487147014,0.21384591360886893,5.970257600148519,0.11930619925260544
42,4.221940199534099,0.21461011717716852,5.874221245447795,0.11737214028835297
43,4.178052028020223,0.21694285422563553,5.878032684326172,0.11717378099759419
44,4.1567807992299395,0.21736203879117966,5.768418788909912,0.11482231443126996
45,4.156365633010864,0.21659361571073532,5.803567250569661,0.12497405211130778
46,4.12881875038147,0.21737541258335114,5.378117720286052,0.11453659708301227
47,4.095111846923828,0.2216380387544632,5.90187652905782,0.10679851472377777
48,4.0591849486033125,0.2258727972706159,5.246560255686442,0.10080469523866971
49,4.0456556876500445,0.22199243555466333,6.0750454266866045,0.11344746376077335
50,4.0392781893412275,0.21821586539347967,6.171834548314412,0.11865584676464398
51,3.9639268716176352,0.22448445608218512,5.821955919265747,0.11698919162154198
