epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
0,0.00890546566985834,0.0,0.0031112295020228396,0.0
1,0.002766403826311804,0.0,0.002072050392878457,0.0
2,0.002025953091036242,0.0,0.0016054718155198945,0.0
3,0.001596762565895915,0.0,0.0013563895929389847,0.0
4,0.0013501986708993523,0.0,0.001213220924210663,0.0
5,0.0012096822252855278,0.0,0.001111583193190969,0.0
6,0.0011004461803867554,0.0,0.0010362909591864222,0.0
7,0.0009733679941676271,0.0041558586282661476,0.0008956644585571036,0.0826670868040841
8,0.0008131273856494003,0.08585410316698955,0.0008169332040079797,0.13406281080294835
9,0.0006911604745815006,0.10273136850597996,0.0020754954759747936,0.16382206725673082
10,0.0006212645586436758,0.12181502174845699,0.0035265394298431394,0.16330649378784423
11,0.0005764350756250608,0.12322282520861315,0.008637779069921145,0.164842280438349
12,0.0005456259017452025,0.1415905439928591,0.009812807915015863,0.16556257266411256
13,0.0005193174158473714,0.14427246760559592,0.011547051585064484,0.1656045019360599
14,0.0004938933584176434,0.15708957242924682,0.020067763586456958,0.1665302693117899
15,0.00047493620569674444,0.1756147760622195,0.0008179001608648553,0.09309500416629607
16,0.0004546409260141305,0.19505553074752477,0.00544771259256567,0.18673054122457106
17,0.0004401089502677608,0.20201227928236076,0.01720772131990928,0.19784774757992318
18,0.0004216299085573365,0.21806206677978499,0.003216906164128047,0.19344895388937952
19,0.00040972007263917476,0.22233247859846786,0.0038814834910086715,0.19314063781992036
20,0.00039734436499062355,0.23479552507129872,0.003413562152463083,0.18169897916944333
21,0.00038655260421084956,0.24518780521719208,0.0034350575073263966,0.1811165382444484
22,0.0003780760486663964,0.24620413542905875,0.004518083708647352,0.18667770305086584
23,0.0003692211388484933,0.2510764140021084,0.00332468568544405,0.1841070787236679
24,0.0003607376062203772,0.2611181443736786,0.005263080292094786,0.1797483176012937
25,0.00035234148023076926,0.26381052702752766,0.005168182757468178,0.18969035902404321
26,0.0003483038666532733,0.2750929926762835,0.004559472346535096,0.19702807027411307
27,0.0003419585118535906,0.27569890849764606,0.004580973038593164,0.18993801992662612
28,0.0003372260342495373,0.2840671556967458,0.005913140216412453,0.1942881033474655
29,0.00033109794961861695,0.28716501754247276,0.004020410330178073,0.19353666753533888
30,0.0003272002527060417,0.29219960542141876,0.0008933174070149947,0.14889419401225343
31,0.0003218693723633456,0.28936775073948157,0.006659670938880971,0.20202553105120508
32,0.00031800562171086384,0.3027172529380611,0.0017328715990655697,0.17580773648479797
33,0.0003148900801674105,0.30333365711087173,0.001469701799438693,0.15553561414732003
34,0.000310152649315289,0.3095734991000546,0.0009522311626754415,0.16140448499631502
35,0.00030576991132245614,0.315796536575921,0.0033558050278001106,0.19524917404045233
36,0.00030228439293121203,0.322761631358708,0.0013873831037646877,0.1805676370457145
37,0.0002988587209704117,0.327036195972635,0.0011133981707434242,0.165490279959313
38,0.0002951473020052967,0.33654859444961044,0.0009099325330820507,0.14961210408671852
39,0.0002914608765142755,0.3365566123590591,0.0009745946556974489,0.15269722043401895
40,0.00028792518423870206,0.34172193143826163,0.006008200168323059,0.19462390403816407
41,0.0002840759049062259,0.34497432716818843,0.0010685853933234913,0.1653728433403442
42,0.0002804828668908718,0.35829625032040346,0.0009290374896059242,0.1559008522930281
43,0.00027862603243332927,0.35745809633997455,0.0008368939228463345,0.12963812618107487
44,0.000273101353041756,0.35978097699888745,0.0016175320936151994,0.16783941007826775
45,0.0002677686828134868,0.37752592207703817,0.0010216426274452645,0.16420336766951063
46,0.00026346142336618726,0.3812274112915696,0.0009092105252560801,0.09908882897321836
47,0.00025847829070139246,0.3910654093155145,0.0025574237000770294,0.17646746325020543
48,0.0002533817516030887,0.3950843336073181,0.004167870179606745,0.17951458912335366
49,0.0002525269138949135,0.40193401071763,0.0009325957395888579,0.09924562697212815
50,0.0002464392388132043,0.412026448426287,0.0008441443004323026,0.1274434881931653
51,0.00024267286957743077,0.42409495795028557,0.0009343697904394224,0.13252899665256
52,0.0002387955862034757,0.417290121709819,0.0021566587473409106,0.10241697681405328
53,0.00023605756947430424,0.42189304647872294,0.0009338706149719656,0.1477945878606054
54,0.00022984107971961537,0.4379375757765241,0.002944157190191058,0.18133819253526579
55,0.000223902681542453,0.45477400226714126,0.0015248397271184681,0.16339628689439104
56,0.0002198535943394885,0.4601129318385916,0.0013291638147515745,0.16830998336465308
57,0.0002155572846487093,0.4708248799942934,0.0018814450326877146,0.16892014486836457
58,0.00021195015366314552,0.4810430081407296,0.0008782574217408323,0.13131644606826237
59,0.00020931421134334343,0.48985267516564807,0.001918771792239008,0.1051114557703935
60,0.00020377260975342675,0.490058838948902,0.004055115439069386,0.1667702363542169
61,0.00019848176005045668,0.5020602701864947,0.0033171166433021426,0.1601762308117228
62,0.0001944635604069425,0.5168382447677199,0.003259852439021835,0.17933076479576782
63,0.0001913485645603102,0.5211891499716276,0.00303730643981208,0.17597849122004242
64,0.00018819283846264274,0.528662378188769,0.0014957766084430309,0.16562861643068752
65,0.000185536132798566,0.5266324065161369,0.002111928873301412,0.16501652073733045
66,0.00017910012180576674,0.5525388181347689,0.002828422495020697,0.17174421985194893
